id,shi,sheng
020,广州,广东
024,沈阳市,辽宁
025,南京,江苏
027,武汉,湖北
028,成都,四川
029,西安,陕西
310,邯郸市,河北
311,石家庄,河北
312,保定市,河北
313,张家口,河北
314,承德市,河北
315,唐山市,河北
316,廊坊市,河北
317,沧州市,河北
318,衡水市,河北
319,邢台市,河北
335,秦皇岛,河北
349,朔州,山西
350,沂州,山西
351,太原,山西
352,大同,山西
353,阳泉,山西
354,晋中,山西
355,长治,山西
356,晋城,山西
357,临汾,山西
358,吕梁,山西
359,运城,山西
370,商丘,河南
371,郑州,河南
372,安阳,河南
373,新乡,河南
374,许昌,河南
375,平顶山,河南
376,信阳,河南
377,南阳,河南
378,开封,河南
379,洛阳,河南
391,焦作,河南
392,鹤壁,河南
393,濮阳,河南
394,周口,河南
395,漯河,河南
396,驻马店,河南
398,三门峡,河南
410,铁岭市,辽宁
411,大连市,辽宁
412,鞍山市,辽宁
413,抚顺市,辽宁
414,本溪市,辽宁
415,丹东市,辽宁
416,锦州市,辽宁
417,营口市,辽宁
418,阜新市,辽宁
419,辽阳市,辽宁
421,朝阳市,辽宁
427,盘锦市,辽宁
429,葫芦岛,辽宁
431,长春,黑龙江
432,吉林,黑龙江
433,延边,黑龙江
434,四平,黑龙江
435,通化,黑龙江
436,白城,黑龙江
437,辽源,黑龙江
438,松原,黑龙江
439,白山,黑龙江
451,哈尔滨,黑龙江
452,齐齐哈尔,黑龙江
453,牡丹江,黑龙江
454,佳木斯,黑龙江
455,绥化,黑龙江
456,黑河,黑龙江
457,大兴安岭,黑龙江
458,伊春,黑龙江
459,大庆,黑龙江
464,七台河,黑龙江
467,鸡西,黑龙江
468,鹤岗,黑龙江
469,双鸭山,黑龙江
470,呼伦贝尔,内蒙古
471,呼和浩特,内蒙古
472,包头,内蒙古
473,乌海,内蒙古
474,乌兰察布,内蒙古
475,通辽,内蒙古
476,赤峰,内蒙古
477,鄂尔多斯,内蒙古
478,巴彦淖尔,内蒙古
479,锡林郭勒,内蒙古
482,兴安盟,内蒙古
483,阿拉善盟,内蒙古
510,无锡,江苏
511,镇江,江苏
512,苏州,江苏
513,南通,江苏
514,扬州,江苏
515,盐城,江苏
516,徐州,江苏
517,淮安,江苏
518,连云港,江苏
519,常州,江苏
523,泰州,江苏
527,宿迁,江苏
530,菏泽,山东
531,济南,山东
532,青岛,山东
533,淄博,山东
534,德州,山东
535,烟台,山东
536,潍坊,山东
537,济宁,山东
538,泰安,山东
539,临沂,山东
543,滨州,山东
546,东营,山东
550,滁州,安徽
551,合肥,安徽
552,蚌埠,安徽
553,芜湖,安徽
554,淮南,安徽
555,马鞍山,安徽
556,安庆,安徽
557,宿州,安徽
558,阜阳,安徽
559,黄山,安徽
561,淮北,安徽
562,铜陵,安徽
563,宣城,安徽
564,六安,安徽
565,巢湖,安徽
566,池州,安徽
570,衢州,浙江
571,杭州,浙江
572,湖州,浙江
573,嘉兴,浙江
574,宁波,浙江
575,绍兴,浙江
576,台州,浙江
577,温州,浙江
578,丽水,浙江
579,金华,浙江
580,舟山,浙江
591,福州,福建
592,厦门,福建
593,宁德,福建
594,莆田,福建
595,泉州,福建
596,漳州,福建
597,龙岩,福建
598,三明,福建
599,南平,福建
631,威海,山东
632,枣庄,山东
633,日照,山东
634,莱芜,山东
635,聊城,山东
660,汕尾,广东
662,阳江,广东
663,揭阳,广东
668,茂名,广东
691,西双版纳,云南
692,德宏,云南
701,鹰潭,江西
710,襄樊,湖北
711,鄂州,湖北
712,孝感,湖北
713,黄冈,湖北
714,黄石,湖北
715,咸宁,湖北
716,荆州,湖北
717,宜昌,湖北
718,恩施,湖北
719,十堰,湖北
722,随州,湖北
724,荆门,湖北
728,仙桃,湖北
730,岳阳,湖南
731,长沙,湖南
734,衡阳,湖南
735,郴州,湖南
736,常德,湖南
737,益阳,湖南
738,娄底,湖南
739,邵阳,湖南
743,湘西,湖南
744,张家界,湖南
745,怀化,湖南
746,永州,湖南
750,江门,广东
751,韶关,广东
752,惠州,广东
753,梅州,广东
754,汕头,广东
755,深圳,广东
756,珠海,广东
757,佛山,广东
758,肇庆,广东
759,湛江,广东
760,中山,广东
762,河源,广东
763,清远,广东
766,云浮,广东
768,潮州,广东
769,东莞,广东
770,防城港,广西
771,南宁,广西
772,柳州,广西
773,桂林,广西
774,梧州,广西
775,玉林,广西
776,百色,广西
777,钦州,广西
778,河池,广西
779,北海,广西
790,新余,江西
791,南昌,江西
792,九江,江西
793,上饶,江西
794,抚州,江西
795,宜春,江西
796,吉安,江西
797,赣州,江西
798,景德镇,江西
799,萍乡,江西
812,攀枝花,四川
813,自贡,四川
816,绵阳,四川
817,南充,四川
818,达州,四川
825,遂宁,四川
826,广安,四川
827,巴中,四川
830,泸州,四川
831,宜宾,四川
832,内江,四川
833,乐山,四川
834,凉山,四川
835,雅安,四川
836,甘孜,四川
837,阿坝,四川
838,德阳,四川
839,广元,四川
851,贵阳,贵州
852,遵义,贵州
853,安顺,贵州
854,黔南,贵州
855,黔东南,贵州
856,铜仁,贵州
857,毕节,贵州
858,六盘水,贵州
859,黔西南,贵州
870,昭通,云南
871,昆明,云南
872,大理,云南
873,红河,云南
874,曲靖,云南
875,宝山,云南
876,文山,云南
877,玉溪,云南
878,楚雄,云南
879,思茅,云南
883,临沧,云南
886,怒江,云南
887,迪庆,云南
888,丽江,云南
891,拉萨,西藏
892,日喀则,西藏
893,山南,西藏
894,林芝,西藏
895,昌都,西藏
896,那曲,西藏
897,阿里,西藏
898,海口,海南
901,塔城,新疆
902,哈密,新疆
903,和田,新疆
906,阿勒泰,新疆
908,克孜勒苏柯尔克孜,新疆
909,博尔塔拉,新疆
911,延安,陕西
912,榆林,陕西
913,渭南,陕西
914,商洛,陕西
915,安康,陕西
916,汉中,陕西
917,宝鸡,陕西
919,铜仁,陕西
930,临夏,甘肃
931,兰州,甘肃
932,定西,甘肃
933,平凉,甘肃
934,庆阳,甘肃
935,武威,甘肃
936,张掖,甘肃
937,酒泉,甘肃
938,天水,甘肃
939,陇南,甘肃
941,甘南,甘肃
943,白银,甘肃
951,银川,宁夏
952,石嘴山,宁夏
953,吴忠,宁夏
954,固原,宁夏
955,中卫,宁夏
970,海北,青海
971,西宁,青海
972,海东,青海
973,黄南,青海
974,海南,青海
975,果洛,青海
976,玉树,青海
979,海西,青海
990,克拉玛依,新疆
991,乌鲁木齐,新疆
